org.jfree.chart.renderer.AbstractRenderer	private void readObject(java.io.ObjectInputStream) throws java.io.IOException, java.lang.ClassNotFoundException	stream	B1	0/17
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawSeries(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotRenderingInfo, org.jfree.chart.plot.PolarPlot, XYDataset#RAW, int) 	paint	B21	0/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	protected void addEntity(org.jfree.chart.entity.EntityCollection, java.awt.Shape, XYDataset#RAW, int, int, double, double) 	url	B9	0/3
org.jfree.chart.renderer.WaferMapRenderer	private void makePaintIndex() 	count	B4	0/3
org.jfree.chart.renderer.WaferMapRenderer	private void makePaintIndex() 	count	B5	0/2
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawSeries(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotRenderingInfo, org.jfree.chart.plot.PolarPlot, XYDataset#RAW, int) 	entities	B15	0/3
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawSeries(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotRenderingInfo, org.jfree.chart.plot.PolarPlot, XYDataset#RAW, int) 	poly	B1	1/13
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawSeries(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotRenderingInfo, org.jfree.chart.plot.PolarPlot, XYDataset#RAW, int) 	poly	B3	0/12
org.jfree.chart.renderer.DefaultPolarItemRenderer	public void drawSeries(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotRenderingInfo, org.jfree.chart.plot.PolarPlot, XYDataset#RAW, int) 	poly	B4	0/10
org.jfree.chart.renderer.WaferMapRenderer	private void makeValueIndex(java.lang.Number, java.lang.Number, Set#RAW) 	paint	B3	1/6
org.jfree.chart.renderer.WaferMapRenderer	private void makeValueIndex(java.lang.Number, java.lang.Number, Set#RAW) 	paint	B4	0/5
org.jfree.chart.renderer.WaferMapRenderer	private void makeValueIndex(java.lang.Number, java.lang.Number, Set#RAW) 	paint	B5	0/3
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	urlText	B1	2/5
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	urlText	B3	1/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	urlText	B7	0/3
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	toolTipText	B1	2/5
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	toolTipText	B3	1/4
org.jfree.chart.renderer.DefaultPolarItemRenderer	public org.jfree.chart.legend.LegendItem getLegendItem(int) 	toolTipText	B5	0/3
org.jfree.chart.renderer.RendererUtils	public static int[] findLiveItems(XYDataset#RAW, int, double, double) 	i0	B1	1/4
org.jfree.chart.renderer.RendererUtils	public static int findLiveItemsLowerBound(XYDataset#RAW, int, double, double) 	x	B27	1/3
org.jfree.chart.renderer.RendererUtils	public static int findLiveItemsUpperBound(XYDataset#RAW, int, double, double) 	x	B30	1/3
org.jfree.chart.renderer.OutlierList	public void updateAveragedOutlier() 	totalXCoords	B1	1/3
org.jfree.chart.renderer.OutlierList	public void updateAveragedOutlier() 	totalXCoords	B2	1/2
org.jfree.chart.renderer.OutlierList	public void updateAveragedOutlier() 	totalYCoords	B1	1/3
org.jfree.chart.renderer.OutlierList	public void updateAveragedOutlier() 	totalYCoords	B2	1/2
